Polarization Analyzer Results

No	PER [dB]	Lin. PER [dB]	Lin. V	φ [°]	DOP [%]	Intensity [%]	Intensity bar	Comment	Timestamp
1	2.7	2.0	2	23.4	78.6	7.8	0	comment is empty	28.05.2025, 19:33:12
2	2.7	2.0	2	23.3	78.6	7.7	0	comment is empty	28.05.2025, 19:33:13
3	2.7	2.0	2	23.4	78.6	7.8	0	comment is empty	28.05.2025, 19:33:14
4	2.7	2.0	2	23.3	78.6	7.7	0	comment is empty	28.05.2025, 19:33:15
5	2.7	2.0	2	23.4	78.6	7.8	0	comment is empty	28.05.2025, 19:33:16
6	2.7	2.0	2	23.2	78.5	7.8	0	comment is empty	28.05.2025, 19:33:17
7	2.7	1.9	2	23.2	78.6	7.8	0	comment is empty	28.05.2025, 19:33:18
8	2.7	1.9	2	23.3	78.5	7.7	0	comment is empty	28.05.2025, 19:33:19
9	2.7	2.0	2	23.2	78.6	7.7	0	comment is empty	28.05.2025, 19:33:20
10	2.7	2.0	2	23.3	78.7	7.7	0	comment is empty	28.05.2025, 19:33:21
11	2.7	2.0	2	23.4	78.6	7.7	0	comment is empty	28.05.2025, 19:33:22
12	2.7	2.0	2	23.2	78.6	7.7	0	comment is empty	28.05.2025, 19:33:23
13	2.7	2.0	2	23.3	78.5	7.7	0	comment is empty	28.05.2025, 19:33:24
14	2.7	2.0	2	23.4	78.6	7.7	0	comment is empty	28.05.2025, 19:33:25
15	2.7	1.9	2	23.4	78.5	7.7	0	comment is empty	28.05.2025, 19:33:26
16	2.7	2.0	2	23.3	78.5	7.7	0	comment is empty	28.05.2025, 19:33:27
17	2.7	1.9	2	23.2	78.6	7.7	0	comment is empty	28.05.2025, 19:33:28
18	2.7	2.0	2	23.5	78.6	7.7	0	comment is empty	28.05.2025, 19:33:29
19	2.7	2.0	2	23.4	78.6	7.7	0	comment is empty	28.05.2025, 19:33:30
20	2.7	2.0	2	23.5	78.6	7.7	0	comment is empty	28.05.2025, 19:33:31
21	2.7	2.0	2	23.5	78.6	7.6	0	comment is empty	28.05.2025, 19:33:32
22	2.7	2.0	2	23.3	78.7	7.6	0	comment is empty	28.05.2025, 19:33:33
23	2.7	2.0	2	23.6	78.7	7.6	0	comment is empty	28.05.2025, 19:33:34
24	2.7	2.0	2	23.4	78.6	7.6	0	comment is empty	28.05.2025, 19:33:35
25	2.8	2.0	2	23.6	78.7	7.6	0	comment is empty	28.05.2025, 19:33:36
26	2.8	2.0	2	23.5	78.6	7.6	0	comment is empty	28.05.2025, 19:33:37
27	2.8	2.0	2	23.7	78.7	7.6	0	comment is empty	28.05.2025, 19:33:38
28	2.8	2.0	2	23.7	78.6	7.6	0	comment is empty	28.05.2025, 19:33:39
29	2.7	2.0	2	23.6	78.6	7.6	0	comment is empty	28.05.2025, 19:33:40
30	2.7	2.0	2	23.5	78.5	7.6	0	comment is empty	28.05.2025, 19:33:41
31	2.7	2.0	2	23.6	78.5	7.6	0	comment is empty	28.05.2025, 19:33:42
32	2.7	2.0	2	23.6	78.6	7.6	0	comment is empty	28.05.2025, 19:33:43
33	2.7	2.0	2	23.4	78.6	7.6	0	comment is empty	28.05.2025, 19:33:44
34	2.7	2.0	2	23.5	78.6	7.6	0	comment is empty	28.05.2025, 19:33:45
35	2.7	2.0	2	23.5	78.6	7.6	0	comment is empty	28.05.2025, 19:33:46
36	2.7	2.0	2	23.5	78.6	7.6	0	comment is empty	28.05.2025, 19:33:47
37	2.8	2.0	2	23.6	78.6	7.6	0	comment is empty	28.05.2025, 19:33:48
38	2.8	2.0	2	23.8	78.6	7.6	0	comment is empty	28.05.2025, 19:33:49
39	2.8	2.0	2	23.6	78.6	7.5	0	comment is empty	28.05.2025, 19:33:50
40	2.8	2.0	2	23.6	78.6	7.5	0	comment is empty	28.05.2025, 19:33:51
41	2.7	2.0	2	23.7	78.6	7.5	0	comment is empty	28.05.2025, 19:33:52
42	2.7	2.0	2	23.7	78.6	7.5	0	comment is empty	28.05.2025, 19:33:53
43	2.8	2.0	2	23.7	78.7	7.5	0	comment is empty	28.05.2025, 19:33:54
44	2.8	2.0	2	23.8	78.5	7.5	0	comment is empty	28.05.2025, 19:33:55
45	2.7	2.0	2	23.7	78.5	7.6	0	comment is empty	28.05.2025, 19:33:56
46	2.7	2.0	2	23.8	78.6	7.5	0	comment is empty	28.05.2025, 19:33:57
47	2.7	2.0	2	23.7	78.6	7.6	0	comment is empty	28.05.2025, 19:33:58
48	2.7	2.0	2	23.6	78.6	7.5	0	comment is empty	28.05.2025, 19:33:59
49	2.7	2.0	2	23.8	78.6	7.6	0	comment is empty	28.05.2025, 19:34:00
50	2.7	2.0	2	23.7	78.5	7.5	0	comment is empty	28.05.2025, 19:34:01
51	2.7	2.0	2	23.6	78.7	7.5	0	comment is empty	28.05.2025, 19:34:02
52	2.7	2.0	2	23.8	78.5	7.5	0	comment is empty	28.05.2025, 19:34:03
53	2.7	1.9	2	23.7	78.6	7.6	0	comment is empty	28.05.2025, 19:34:04
54	2.7	2.0	2	23.6	78.5	7.6	0	comment is empty	28.05.2025, 19:34:05
55	2.7	2.0	2	23.8	78.6	7.6	0	comment is empty	28.05.2025, 19:34:06
56	2.7	2.0	2	23.7	78.6	7.6	0	comment is empty	28.05.2025, 19:34:07
57	2.7	1.9	2	23.7	78.5	7.6	0	comment is empty	28.05.2025, 19:34:08
58	2.7	1.9	2	23.8	78.7	7.6	0	comment is empty	28.05.2025, 19:34:09
59	2.6	1.9	2	23.8	78.5	7.5	0	comment is empty	28.05.2025, 19:34:10
60	2.6	1.9	2	23.7	78.3	7.6	0	comment is empty	28.05.2025, 19:34:11
61	2.7	1.9	2	23.7	78.5	7.5	0	comment is empty	28.05.2025, 19:34:12
62	2.6	1.9	2	23.4	78.3	7.6	0	comment is empty	28.05.2025, 19:34:13
63	2.6	1.9	2	23.6	78.5	7.6	0	comment is empty	28.05.2025, 19:34:14
64	2.6	1.9	2	23.7	78.5	7.6	0	comment is empty	28.05.2025, 19:34:15
65	2.6	1.9	2	23.7	78.5	7.5	0	comment is empty	28.05.2025, 19:34:16
66	2.6	1.9	2	23.9	78.4	7.5	0	comment is empty	28.05.2025, 19:34:17
67	2.6	1.9	2	23.7	78.3	7.6	0	comment is empty	28.05.2025, 19:34:18
68	2.6	1.9	2	23.8	78.4	7.6	0	comment is empty	28.05.2025, 19:34:19
69	2.6	1.9	2	23.7	78.4	7.6	0	comment is empty	28.05.2025, 19:34:20
70	2.6	1.9	2	23.7	78.5	7.6	0	comment is empty	28.05.2025, 19:34:21
71	2.6	1.9	2	23.8	78.4	7.6	0	comment is empty	28.05.2025, 19:34:22
72	2.6	1.9	2	23.7	78.4	7.6	0	comment is empty	28.05.2025, 19:34:23
73	2.5	1.9	2	23.6	78.4	7.6	0	comment is empty	28.05.2025, 19:34:24
74	2.5	1.8	2	23.9	78.4	7.6	0	comment is empty	28.05.2025, 19:34:25
75	2.5	1.8	2	24.0	78.4	7.6	0	comment is empty	28.05.2025, 19:34:26
76	2.5	1.8	2	23.9	78.2	7.6	0	comment is empty	28.05.2025, 19:34:27
77	2.5	1.8	2	23.7	78.3	7.6	0	comment is empty	28.05.2025, 19:34:28
78	2.5	1.8	2	23.9	78.4	7.6	0	comment is empty	28.05.2025, 19:34:29
79	2.5	1.8	2	23.8	78.3	7.6	0	comment is empty	28.05.2025, 19:34:30
80	2.5	1.8	2	23.7	78.6	7.6	0	comment is empty	28.05.2025, 19:34:31
81	2.5	1.8	2	23.8	78.5	7.6	0	comment is empty	28.05.2025, 19:34:32
82	2.5	1.8	2	23.9	78.4	7.6	0	comment is empty	28.05.2025, 19:34:33
83	2.4	1.8	2	23.8	78.2	7.6	0	comment is empty	28.05.2025, 19:34:34
84	2.4	1.8	2	24.0	78.2	7.6	0	comment is empty	28.05.2025, 19:34:35
85	2.4	1.8	2	23.9	78.3	7.6	0	comment is empty	28.05.2025, 19:34:36
86	2.5	1.8	2	23.9	78.4	7.5	0	comment is empty	28.05.2025, 19:34:37
87	2.4	1.8	2	24.1	78.2	7.6	0	comment is empty	28.05.2025, 19:34:38
88	2.4	1.8	2	24.1	78.3	7.6	0	comment is empty	28.05.2025, 19:34:39
89	2.4	1.8	2	24.2	78.3	7.6	0	comment is empty	28.05.2025, 19:34:40
90	2.4	1.8	2	24.1	78.2	7.6	0	comment is empty	28.05.2025, 19:34:41
91	2.4	1.8	2	24.2	78.3	7.6	0	comment is empty	28.05.2025, 19:34:42
92	2.4	1.8	1	24.3	78.3	7.6	0	comment is empty	28.05.2025, 19:34:43
93	2.3	1.7	1	24.3	78.2	7.6	0	comment is empty	28.05.2025, 19:34:44
94	2.4	1.7	1	23.9	78.2	7.6	0	comment is empty	28.05.2025, 19:34:45
95	2.4	1.7	1	24.0	78.2	7.6	0	comment is empty	28.05.2025, 19:34:46
96	2.4	1.7	1	24.3	78.3	7.6	0	comment is empty	28.05.2025, 19:34:47
97	2.4	1.7	1	24.1	78.2	7.6	0	comment is empty	28.05.2025, 19:34:48
98	2.4	1.7	1	24.3	78.2	7.6	0	comment is empty	28.05.2025, 19:34:49
99	2.3	1.7	1	24.4	78.3	7.6	0	comment is empty	28.05.2025, 19:34:50
